Version,Set,Item1,Item2,Item3,Item4
1,1,7,2,1,5
1,2,6,2,3,8
1,3,9,4,3,7
1,4,8,4,5,10
1,5,9,5,6,11
1,6,12,10,6,7
1,7,11,13,8,7
1,8,9,12,14,8
1,9,9,10,13,15
1,10,10,11,16,14
1,11,17,15,12,11
1,12,13,12,16,1
1,13,13,2,17,14
1,14,1,14,15,3
2,1,3,2,6,8
2,2,7,9,3,4
2,3,8,10,5,4
2,4,5,11,9,6
2,5,7,6,12,10
2,6,7,11,13,8
2,7,12,8,14,9
2,8,10,13,9,15
2,9,11,14,16,10
2,10,12,17,11,15
2,11,16,13,12,1
2,12,17,14,13,2
2,13,14,15,3,1
2,14,15,16,2,4
3,1,9,7,3,4
3,2,8,4,10,5
3,3,5,11,9,6
3,4,6,7,12,10
3,5,7,11,13,8
3,6,12,8,14,9
3,7,15,10,13,9
3,8,11,14,10,16
3,9,15,11,17,12
3,10,16,13,1,12
3,11,2,14,17,13
3,12,15,3,14,1
3,13,4,15,16,2
3,14,17,5,16,3
4,1,10,8,5,4
4,2,11,5,9,6
4,3,7,6,12,10
4,4,11,8,7,13
4,5,12,9,8,14
4,6,9,10,15,13
4,7,14,11,10,16
4,8,11,12,15,17
4,9,13,12,16,1
4,10,2,13,14,17
4,11,15,1,14,3
4,12,4,15,2,16
4,13,17,16,3,5
4,14,4,1,17,6
5,1,9,6,11,5
5,2,7,12,6,10
5,3,13,8,7,11
5,4,12,9,8,14
5,5,15,10,9,13
5,6,11,14,10,16
5,7,17,11,12,15
5,8,13,1,12,16
5,9,2,14,17,13
5,10,15,1,14,3
5,11,4,2,16,15
5,12,16,17,5,3
5,13,1,17,4,6
5,14,7,5,1,2
6,1,7,12,10,6
6,2,7,13,11,8
6,3,8,9,14,12
6,4,13,10,15,9
6,5,11,16,14,10
6,6,12,15,11,17
6,7,16,12,1,13
6,8,13,17,2,14
6,9,15,1,14,3
6,10,4,15,16,2
6,11,3,5,17,16
6,12,4,6,1,17
6,13,2,1,7,5
6,14,6,8,3,2
7,1,11,13,7,8
7,2,9,12,8,14
7,3,10,13,9,15
7,4,11,16,14,10
7,5,17,11,15,12
7,6,13,16,12,1
7,7,13,14,2,17
7,8,3,1,14,15
7,9,15,16,4,2
7,10,3,5,16,17
7,11,4,17,6,1
7,12,1,5,7,2
7,13,2,3,6,8
7,14,9,7,3,4
8,1,12,8,14,9
8,2,15,13,9,10
8,3,10,14,16,11
8,4,17,11,12,15
8,5,13,12,1,16
8,6,13,17,2,14
8,7,14,1,3,15
8,8,4,16,15,2
8,9,5,17,16,3
8,10,4,1,17,6
8,11,7,5,1,2
8,12,8,6,2,3
8,13,3,9,7,4
8,14,10,8,4,5
9,1,15,10,9,13
9,2,16,14,11,10
9,3,15,17,12,11
9,4,16,13,1,12
9,5,13,17,2,14
9,6,15,14,3,1
9,7,2,15,4,16
9,8,5,16,17,3
9,9,17,6,4,1
9,10,1,5,7,2
9,11,6,3,8,2
9,12,9,4,7,3
