record_id,item,framing_arm,proof_variant,segment,n_shown,n_best,n_worst,bw_score
8.0,1,1,3,13,4,0,1,-1
8.0,12,1,1,13,4,1,1,0
8.0,17,1,0,13,3,1,1,0
8.0,10,1,1,13,3,1,1,0
8.0,13,1,1,13,4,1,1,0
8.0,2,1,3,13,4,3,1,2
8.0,11,1,2,13,3,0,1,-1
8.0,3,1,3,13,4,0,4,-4
8.0,14,1,0,13,3,0,0,0
8.0,4,1,1,13,4,1,0,1
8.0,15,1,2,13,2,1,0,1
8.0,5,1,2,13,4,1,0,1
8.0,16,1,3,13,2,0,1,-1
8.0,6,1,1,13,4,2,1,1
8.0,7,1,0,13,3,1,0,1
8.0,8,1,0,13,3,0,1,-1
8.0,9,1,0,13,2,1,0,1
9.0,3,2,3,2,3,2,1,1
9.0,4,2,1,2,3,0,0,0
9.0,9,2,0,2,4,2,2,0
9.0,7,2,0,2,3,0,1,-1
9.0,10,2,2,2,4,1,1,0
9.0,8,2,0,2,3,0,0,0
9.0,5,2,1,2,3,2,0,2
9.0,6,2,3,2,2,0,0,0
9.0,11,2,2,2,4,1,1,0
9.0,12,2,2,2,4,3,0,3
9.0,13,2,3,2,4,0,1,-1
9.0,14,2,0,2,4,2,1,1
9.0,15,2,1,2,4,0,2,-2
9.0,16,2,1,2,4,0,2,-2
9.0,17,2,0,2,3,0,1,-1
9.0,1,2,1,2,2,0,1,-1
9.0,2,2,1,2,2,1,0,1
11.0,3,1,1,16,3,0,2,-2
11.0,16,1,2,16,4,3,0,3
11.0,6,1,1,16,3,3,0,3
11.0,8,1,0,16,4,1,0,1
11.0,7,1,0,16,3,1,1,0
11.0,4,1,1,16,3,0,1,-1
11.0,9,1,0,16,4,0,4,-4
11.0,17,1,0,16,3,3,0,3
11.0,10,1,1,16,4,0,1,-1
11.0,5,1,2,16,2,0,1,-1
11.0,1,1,2,16,3,2,0,2
11.0,11,1,1,16,4,0,0,0
11.0,2,1,2,16,3,0,1,-1
11.0,12,1,1,16,4,0,3,-3
11.0,13,1,3,16,3,0,0,0
11.0,14,1,0,16,3,1,0,1
11.0,15,1,2,16,3,0,0,0
12.0,15,2,1,13,4,3,1,2
12.0,13,2,2,13,3,0,0,0
12.0,9,2,0,13,3,0,1,-1
12.0,10,2,2,13,3,0,2,-2
12.0,14,2,0,13,3,1,0,1
12.0,11,2,2,13,3,0,0,0
12.0,16,2,2,13,4,1,1,0
12.0,17,2,0,13,4,1,0,1
