source,item,code,wave,cut,n,n_wgt,metric,mean,top3,bot3,net,pct,val,f1,f2,f3,f4,f5,f6,f7,sig,stat
items,QHIVSTIGMAr1,HIVSTIGMA_SB_1,,TOTAL,833,805.7,top3,4.6,56.8,22.0,34.8,,,6.2,6.1,9.7,21.1,24.3,21.6,10.9,0,0.0
items,QHIVSTIGMAr1,HIVSTIGMA_SB_1,,TSP,30,9.8,top3,5.17,75.3,10.9,64.4,,,0.0,0.0,10.9,13.8,32.4,33.1,9.8,1,2.14
items,QHIVSTIGMAr1,HIVSTIGMA_SB_1,,CEC,68,68.3,top3,5.52,76.6,4.6,72.0,,,0.0,0.0,4.6,18.8,21.2,30.2,25.2,2,2.59
items,QHIVSTIGMAr1,HIVSTIGMA_SB_1,,TC,69,59.7,top3,5.51,79.6,6.5,73.1,,,0.0,0.0,6.5,14.0,27.2,26.6,25.8,1,2.4
items,QHIVSTIGMAr1,HIVSTIGMA_SB_1,,HF,26,11.3,top3,4.94,64.4,24.5,39.9,,,9.6,0.0,14.9,11.1,10.9,33.6,19.9,0,0.87
items,QHIVSTIGMAr1,HIVSTIGMA_SB_1,,PP,37,14.9,top3,4.88,63.2,20.2,43.0,,,1.4,10.5,8.3,16.7,20.4,27.9,14.9,0,-0.38
items,QHIVSTIGMAr1,HIVSTIGMA_SB_1,,WE,62,79.2,top3,5.4,77.9,3.6,74.3,,,2.4,0.0,1.2,18.5,26.6,32.3,19.0,1,2.4
items,QHIVSTIGMAr1,HIVSTIGMA_SB_1,,PFF,31,20.6,top3,5.27,76.2,10.9,65.3,,,10.9,0.0,0.0,12.9,13.4,42.5,20.3,1,2.24
items,QHIVSTIGMAr1,HIVSTIGMA_SB_1,,HHN,38,14.4,top3,4.55,59.6,27.4,32.2,,,3.8,14.0,9.6,13.0,30.2,14.6,14.8,0,-0.95
items,QHIVSTIGMAr1,HIVSTIGMA_SB_1,,MFL,49,30.6,top3,5.3,76.6,8.6,68.0,,,0.0,2.8,5.8,14.8,34.4,19.8,22.4,1,2.2
items,QHIVSTIGMAr1,HIVSTIGMA_SB_1,,VS,50,33.8,top3,5.19,70.4,4.0,66.4,,,0.0,3.4,0.6,25.6,29.1,26.3,15.0,2,2.59
items,QHIVSTIGMAr1,HIVSTIGMA_SB_1,,UCP,39,31.8,top3,3.37,28.2,49.7,-21.5,,,4.3,42.0,3.4,22.1,21.0,5.3,1.9,2,-4.95
items,QHIVSTIGMAr1,HIVSTIGMA_SB_1,,FJP,72,105.6,top3,3.68,31.8,39.1,-7.3,,,14.1,11.9,13.1,29.1,16.7,14.4,0.7,2,-5.13
items,QHIVSTIGMAr1,HIVSTIGMA_SB_1,,HCP,70,81.2,top3,4.33,50.7,28.2,22.5,,,13.0,6.4,8.8,21.1,16.5,25.4,8.8,2,-2.76
items,QHIVSTIGMAr1,HIVSTIGMA_SB_1,,HAD,54,65.0,top3,4.38,50.8,26.7,24.1,,,2.2,0.3,24.2,22.4,34.9,12.8,3.1,0,-0.04
items,QHIVSTIGMAr1,HIVSTIGMA_SB_1,,HCI,67,72.9,top3,4.53,57.8,18.9,38.9,,,8.6,9.3,1.0,23.3,24.9,25.5,7.4,0,1.71
items,QHIVSTIGMAr1,HIVSTIGMA_SB_1,,GHI,71,106.5,top3,3.91,39.3,37.1,2.2,,,8.9,5.1,23.1,23.6,28.6,9.9,0.8,2,-3.69
items,QHIVSTIGMAr2,HIVSTIGMA_SB_2,,TOTAL,833,805.7,top3,4.6,59.0,19.6,39.4,,,7.3,6.9,5.4,21.4,27.9,19.8,11.3,0,0.0
items,QHIVSTIGMAr2,HIVSTIGMA_SB_2,,TSP,30,9.8,top3,5.2,67.8,9.6,58.2,,,0.0,2.1,7.5,22.7,26.3,18.7,22.8,0,1.92
items,QHIVSTIGMAr2,HIVSTIGMA_SB_2,,CEC,68,68.3,top3,5.17,73.9,8.3,65.6,,,3.8,0.6,3.9,17.7,30.0,27.6,16.3,1,2.41
items,QHIVSTIGMAr2,HIVSTIGMA_SB_2,,TC,69,59.7,top3,5.23,76.1,7.2,68.9,,,1.1,0.9,5.2,16.8,39.2,16.7,20.2,2,2.76
items,QHIVSTIGMAr2,HIVSTIGMA_SB_2,,HF,26,11.3,top3,5.51,75.6,3.5,72.1,,,3.5,0.0,0.0,21.1,21.2,23.1,31.3,1,2.22
items,QHIVSTIGMAr2,HIVSTIGMA_SB_2,,PP,37,14.9,top3,5.08,65.3,12.7,52.6,,,1.4,3.7,7.6,22.0,15.4,38.2,11.7,0,-0.38
items,QHIVSTIGMAr2,HIVSTIGMA_SB_2,,WE,62,79.2,top3,5.17,71.9,11.8,60.1,,,3.8,3.0,5.0,16.3,22.3,31.8,17.8,0,1.6
items,QHIVSTIGMAr2,HIVSTIGMA_SB_2,,PFF,31,20.6,top3,5.06,68.7,11.0,57.7,,,3.6,3.3,4.1,20.3,28.4,21.0,19.3,1,2.04
items,QHIVSTIGMAr2,HIVSTIGMA_SB_2,,HHN,38,14.4,top3,4.91,67.5,10.6,56.9,,,3.8,3.5,3.3,21.9,28.9,32.4,6.2,0,-0.24
items,QHIVSTIGMAr2,HIVSTIGMA_SB_2,,MFL,49,30.6,top3,5.16,67.1,9.1,58.0,,,0.0,0.0,9.1,23.8,25.8,24.3,17.0,0,1.41
items,QHIVSTIGMAr2,HIVSTIGMA_SB_2,,VS,50,33.8,top3,4.86,61.0,7.3,53.7,,,1.1,5.1,1.1,31.7,33.1,16.2,11.7,1,2.11
items,QHIVSTIGMAr2,HIVSTIGMA_SB_2,,UCP,39,31.8,top3,4.47,42.6,20.2,22.4,,,6.2,10.2,3.8,37.1,16.4,5.3,20.9,2,-3.79
items,QHIVSTIGMAr2,HIVSTIGMA_SB_2,,FJP,72,105.6,top3,3.71,39.2,44.2,-5.0,,,14.5,11.9,17.8,16.7,22.9,15.8,0.5,2,-3.03
items,QHIVSTIGMAr2,HIVSTIGMA_SB_2,,HCP,70,81.2,top3,4.32,58.8,24.5,34.3,,,13.6,8.2,2.7,16.6,34.3,15.6,8.9,2,-2.76
items,QHIVSTIGMAr2,HIVSTIGMA_SB_2,,HAD,54,65.0,top3,5.2,68.6,5.3,63.3,,,2.2,0.9,2.2,26.0,27.8,19.1,21.7,0,-0.37
items,QHIVSTIGMAr2,HIVSTIGMA_SB_2,,HCI,67,72.9,top3,4.35,57.3,20.4,36.9,,,9.5,9.3,1.6,22.3,35.1,17.7,4.5,0,0.77
items,QHIVSTIGMAr2,HIVSTIGMA_SB_2,,GHI,71,106.5,top3,3.8,40.5,32.9,7.6,,,13.0,17.3,2.6,26.5,24.5,15.8,0.2,2,-4.92
items,QHIVSTIGMAr3,HIVSTIGMA_SD_1,,TOTAL,833,805.7,top3,4.84,57.6,20.6,37.0,,,3.8,6.0,10.8,21.9,17.7,19.4,20.5,0,0.0
items,QHIVSTIGMAr3,HIVSTIGMA_SD_1,,TSP,30,9.8,top3,4.75,55.1,23.2,31.9,,,0.0,14.6,8.6,21.8,15.3,22.3,17.5,0,-0.74
items,QHIVSTIGMAr3,HIVSTIGMA_SD_1,,CEC,68,68.3,top3,4.62,51.7,15.3,36.4,,,4.9,5.6,4.8,33.1,25.5,11.6,14.6,0,-0.63
items,QHIVSTIGMAr3,HIVSTIGMA_SD_1,,TC,69,59.7,top3,4.67,59.4,15.4,44.0,,,4.6,2.0,8.8,25.1,29.4,25.7,4.3,0,-0.26
items,QHIVSTIGMAr3,HIVSTIGMA_SD_1,,HF,26,11.3,top3,3.84,41.4,34.8,6.6,,,21.3,7.7,5.8,23.8,20.1,14.7,6.6,0,-1.49
items,QHIVSTIGMAr3,HIVSTIGMA_SD_1,,PP,37,14.9,top3,4.7,55.5,20.6,34.9,,,2.5,4.2,13.9,23.9,21.6,23.1,10.8,0,-0.31
items,QHIVSTIGMAr3,HIVSTIGMA_SD_1,,WE,62,79.2,top3,4.29,38.9,26.2,12.7,,,2.5,10.2,13.5,35.0,11.6,22.5,4.8,2,-3.21
items,QHIVSTIGMAr3,HIVSTIGMA_SD_1,,PFF,31,20.6,top3,4.05,54.7,36.1,18.6,,,18.7,9.0,8.4,9.2,22.9,30.6,1.2,0,-0.56
items,QHIVSTIGMAr3,HIVSTIGMA_SD_1,,HHN,38,14.4,top3,5.09,63.1,16.9,46.2,,,1.7,2.8,12.4,20.0,18.9,19.5,24.7,0,-0.16
items,QHIVSTIGMAr3,HIVSTIGMA_SD_1,,MFL,49,30.6,top3,4.18,41.8,41.2,0.6,,,5.7,16.3,19.2,17.0,6.8,24.4,10.6,1,-1.99
items,QHIVSTIGMAr3,HIVSTIGMA_SD_1,,VS,50,33.8,top3,4.12,36.8,32.1,4.7,,,5.7,9.5,16.9,31.2,17.8,10.0,9.0,2,-3.32
items,QHIVSTIGMAr3,HIVSTIGMA_SD_1,,UCP,39,31.8,top3,6.57,97.5,0.6,96.9,,,0.6,0.0,0.0,1.9,10.2,13.1,74.2,2,4.28
items,QHIVSTIGMAr3,HIVSTIGMA_SD_1,,FJP,72,105.6,top3,5.28,73.5,15.7,57.8,,,3.5,5.7,6.5,10.8,13.9,36.3,23.3,2,2.81
items,QHIVSTIGMAr3,HIVSTIGMA_SD_1,,HCP,70,81.2,top3,4.84,51.4,21.1,30.3,,,0.2,7.4,13.5,27.3,16.5,8.5,26.4,0,1.62
items,QHIVSTIGMAr3,HIVSTIGMA_SD_1,,HAD,54,65.0,top3,4.37,48.1,34.0,14.1,,,12.2,1.6,20.2,18.0,21.6,4.2,22.3,0,-1.29
items,QHIVSTIGMAr3,HIVSTIGMA_SD_1,,HCI,67,72.9,top3,4.24,42.4,32.0,10.4,,,0.0,8.6,23.4,25.6,23.5,15.5,3.4,0,-0.23
items,QHIVSTIGMAr3,HIVSTIGMA_SD_1,,GHI,71,106.5,top3,5.9,80.8,2.7,78.1,,,0.0,2.1,0.6,16.4,12.3,23.4,45.1,2,4.22
items,QHIVSTIGMAr4,HIVSTIGMA_SD_2,,TOTAL,833,805.7,top3,4.97,61.9,16.5,45.4,,,2.8,5.8,7.9,21.6,18.7,23.7,19.5,0,0.0
items,QHIVSTIGMAr4,HIVSTIGMA_SD_2,,TSP,30,9.8,top3,4.44,42.7,28.4,14.3,,,4.1,9.6,14.7,28.9,6.4,24.7,11.6,1,-2.1
items,QHIVSTIGMAr4,HIVSTIGMA_SD_2,,CEC,68,68.3,top3,4.51,50.8,21.4,29.4,,,6.1,9.7,5.6,27.8,23.4,11.2,16.2,0,-1.24
items,QHIVSTIGMAr4,HIVSTIGMA_SD_2,,TC,69,59.7,top3,4.73,60.2,16.3,43.9,,,3.7,5.1,7.5,23.7,24.6,29.8,5.8,0,0.66
items,QHIVSTIGMAr4,HIVSTIGMA_SD_2,,HF,26,11.3,top3,4.12,39.9,29.7,10.2,,,13.7,1.8,14.2,30.4,18.9,11.2,9.8,1,-2.12
items,QHIVSTIGMAr4,HIVSTIGMA_SD_2,,PP,37,14.9,top3,4.79,57.4,20.2,37.2,,,2.5,2.8,14.9,22.4,21.7,21.4,14.3,0,-0.23
items,QHIVSTIGMAr4,HIVSTIGMA_SD_2,,WE,62,79.2,top3,4.47,47.5,24.0,23.5,,,1.5,9.9,12.6,28.6,15.9,26.3,5.3,2,-2.77
items,QHIVSTIGMAr4,HIVSTIGMA_SD_2,,PFF,31,20.6,top3,4.1,50.2,30.5,19.7,,,15.4,3.3,11.8,19.2,28.3,19.5,2.4,0,-1.17
